ACCIDENT_TIME,DAY_OF_WEEK,LGA_NAME,Time,Region
18:15:00,Tuesday,CASEY,18,Metro
16:45:00,Tuesday,YARRA RANGES,16,Metro
6:45:00,Tuesday,MAROONDAH,6,Metro
0:05:00,Wednesday,MACEDON RANGES,0,Country
1:00:00,Wednesday,CAMPASPE,1,Country
3:15:00,Wednesday,MELBOURNE,3,Metro
9:50:00,Tuesday,COLAC OTWAY,9,Country
6:27:00,Wednesday,MELBOURNE,6,Metro
8:50:00,Wednesday,DAREBIN,8,Metro
8:09:00,Wednesday,MELBOURNE,8,Metro
6:20:00,Wednesday,BANYULE,6,Metro
7:29:00,Wednesday,GLEN EIRA,7,Metro
10:45:00,Wednesday,BOROONDARA,10,Metro
10:00:00,Wednesday,MONASH,10,Metro
8:15:00,Monday,MONASH,8,Metro
8:30:00,Wednesday,CORANGAMITE,8,Country
19:45:00,Tuesday,MELTON,19,Metro
12:05:00,Wednesday,DAREBIN,12,Metro
17:50:00,Tuesday,YARRA RANGES,17,Metro
13:40:00,Wednesday,BOROONDARA,13,Metro
13:50:00,Wednesday,MARIBYRNONG,13,Metro
15:50:00,Wednesday,MANNINGHAM,15,Metro
20:40:00,Monday,MELTON,20,Metro
22:00:00,Monday,CASEY,22,Metro
22:45:00,Monday,HUME,22,Metro
16:00:00,Friday,MELBOURNE,16,Metro
4:30:00,Tuesday,BRIMBANK,4,Metro
6:55:00,Tuesday,YARRA,6,Metro
5:54:00,Tuesday,WHITEHORSE,5,Metro
8:27:00,Tuesday,WHITEHORSE,8,Metro
18:10:00,Monday,KNOX,18,Metro
8:30:00,Tuesday,MELBOURNE,8,Metro
9:15:00,Tuesday,MONASH,9,Metro
19:30:00,Monday,MAROONDAH,19,Metro
8:25:00,Thursday,HUME,8,Metro
19:00:00,Friday,NORTHERN GRAMPIANS,19,Country
21:40:00,Friday,MURRINDINDI,21,Country
1:00:00,Saturday,KNOX,1,Metro
0:32:00,Saturday,BALLARAT,0,Country
2:15:00,Saturday,DAREBIN,2,Metro
18:12:00,Friday,WYNDHAM,18,Metro
7:30:00,Tuesday,DAREBIN,7,Metro
9:30:00,Saturday,GREATER DANDENONG,9,Metro
10:31:00,Saturday,YARRA RANGES,10,Metro
7:00:00,Saturday,WHITTLESEA,7,Metro
18:00:00,Thursday,KNOX,18,Metro
11:30:00,Saturday,CAMPASPE,11,Country
18:35:00,Friday,CASEY,18,Metro
12:40:00,Saturday,MOORABOOL,12,Country
18:19:00,Tuesday,HUME,18,Metro
11:00:00,Saturday,PYRENEES,11,Country
13:10:00,Saturday,BALLARAT,13,Country
14:35:00,Saturday,BRIMBANK,14,Metro
15:40:00,Saturday,MELBOURNE,15,Metro
18:30:00,Thursday,GREATER DANDENONG,18,Metro
15:30:00,Saturday,STONNINGTON,15,Metro
14:46:00,Saturday,MARIBYRNONG,14,Metro
17:14:00,Saturday,FRANKSTON,17,Metro
16:10:00,Saturday,BRIMBANK,16,Metro
15:30:00,Saturday,GREATER DANDENONG,15,Metro
16:54:00,Friday,STONNINGTON,16,Metro
18:00:00,Saturday,MOIRA,18,Country
18:50:00,Saturday,MILDURA,18,Country
15:45:00,Saturday,KINGSTON,15,Metro
17:38:00,Saturday,DAREBIN,17,Metro
18:30:00,Saturday,YARRA RANGES,18,Metro
18:00:00,Saturday,MANSFIELD,18,Country
18:00:00,Friday,YARRA RANGES,18,Metro
17:00:00,Saturday,NORTHERN GRAMPIANS,17,Country
20:49:00,Saturday,MELBOURNE,20,Metro
21:31:00,Saturday,MELBOURNE,21,Metro
5:20:00,Friday,MARIBYRNONG,5,Metro
5:25:00,Thursday,WHITTLESEA,5,Metro
23:05:00,Saturday,BALLARAT,23,Country
23:30:00,Saturday,BRIMBANK,23,Metro
23:30:00,Saturday,GREATER DANDENONG,23,Metro
7:50:00,Sunday,BALLARAT,7,Country
14:40:00,Saturday,WHITEHORSE,14,Metro
16:10:00,Saturday,GLEN EIRA,16,Metro
23:40:00,Saturday,PYRENEES,23,Country
18:10:00,Saturday,BRIMBANK,18,Metro
13:10:00,Sunday,WANGARATTA,13,Country
13:00:00,Monday,MORNINGTON PENINSULA,13,Metro
12:00:00,Thursday,MORELAND,12,Metro
13:00:00,Sunday,FRANKSTON,13,Metro
22:14:00,Saturday,MELBOURNE,22,Metro
13:30:00,Sunday,GREATER BENDIGO,13,Country
16:00:00,Sunday,YARRA RANGES,16,Metro
16:45:00,Sunday,YARRA RANGES,16,Metro
15:50:00,Sunday,GREATER GEELONG,15,Country
17:45:00,Sunday,FRANKSTON,17,Metro
2:10:00,Sunday,KNOX,2,Metro
21:45:00,Sunday,MOONEE VALLEY,21,Metro
15:47:00,Sunday,GREATER GEELONG,15,Country
0:45:00,Saturday,HORSHAM,0,Country
0:30:00,Monday,GREATER DANDENONG,0,Metro
23:23:00,Sunday,WYNDHAM,23,Metro
7:55:00,Monday,SOUTHERN GRAMPIANS,7,Country
9:00:00,Monday,ALPINE,9,Country
9:45:00,Monday,GREATER DANDENONG,9,Metro
10:29:00,Monday,LATROBE,10,Country
7:00:00,Sunday,BRIMBANK,7,Metro
9:24:00,Monday,YARRA RANGES,9,Metro
7:55:00,Monday,WHITEHORSE,7,Metro
13:30:00,Sunday,YARRA,13,Metro
13:06:00,Monday,WELLINGTON,13,Country
10:52:00,Monday,MANNINGHAM,10,Metro
5:55:00,Monday,MELBOURNE,5,Metro
13:00:00,Monday,BOROONDARA,13,Metro
14:08:00,Monday,MILDURA,14,Country
14:45:00,Monday,EAST GIPPSLAND,14,Country
18:15:00,Monday,BAYSIDE,18,Metro
18:00:00,Monday,FRANKSTON,18,Metro
8:39:00,Wednesday,YARRA RANGES,8,Metro
11:40:00,Wednesday,HUME,11,Metro
8:20:00,Wednesday,HUME,8,Metro
20:00:00,Thursday,YARRA,20,Metro
12:55:00,Wednesday,BRIMBANK,12,Metro
14:25:00,Wednesday,CASEY,14,Metro
15:13:00,Wednesday,BOROONDARA,15,Metro
19:00:00,Saturday,MELBOURNE,19,Metro
15:10:00,Wednesday,MORNINGTON PENINSULA,15,Metro
13:58:00,Wednesday,MOONEE VALLEY,13,Metro
15:00:00,Wednesday,GLEN EIRA,15,Metro
15:45:00,Tuesday,GREATER BENDIGO,15,Country
8:00:00,Friday,LATROBE,8,Country
8:25:00,Friday,CASEY,8,Metro
8:55:00,Friday,BAW BAW,8,Country
11:20:00,Friday,MELBOURNE,11,Metro
18:00:00,Wednesday,LATROBE,18,Country
12:25:00,Friday,YARRA,12,Metro
11:50:00,Friday,BALLARAT,11,Country
12:40:00,Friday,ALPINE,12,Country
12:15:00,Friday,BAYSIDE,12,Metro
10:48:00,Friday,KINGSTON,10,Metro
9:55:00,Friday,BOROONDARA,9,Metro
13:00:00,Friday,TOWONG,13,Country
14:10:00,Friday,HUME,14,Metro
18:30:00,Monday,MOORABOOL,18,Country
14:45:00,Wednesday,MORELAND,14,Metro
15:30:00,Wednesday,WODONGA,15,Country
17:00:00,Wednesday,BRIMBANK,17,Metro
16:47:00,Wednesday,GREATER GEELONG,16,Country
16:15:00,Wednesday,HUME,16,Metro
19:05:00,Wednesday,MONASH,19,Metro
16:14:00,Wednesday,BANYULE,16,Metro
20:10:00,Wednesday,BOROONDARA,20,Metro
20:20:00,Wednesday,GREATER GEELONG,20,Country
18:00:00,Wednesday,WYNDHAM,18,Metro
20:00:00,Wednesday,GREATER SHEPPARTON,20,Country
19:00:00,Wednesday,YARRA RANGES,19,Metro
21:21:00,Wednesday,BAYSIDE,21,Metro
1:22:00,Thursday,BAYSIDE,1,Metro
1:00:00,Thursday,GREATER GEELONG,1,Country
7:30:00,Thursday,GLEN EIRA,7,Metro
7:45:00,Thursday,BANYULE,7,Metro
8:00:00,Thursday,GREATER DANDENONG,8,Metro
13:40:00,Wednesday,HUME,13,Metro
8:54:00,Thursday,DAREBIN,8,Metro
10:30:00,Saturday,CASEY,10,Metro
11:41:00,Thursday,MONASH,11,Metro
18:00:00,Tuesday,HUME,18,Metro
5:45:00,Monday,MORELAND,5,Metro
8:50:00,Thursday,MONASH,8,Metro
21:21:00,Tuesday,WYNDHAM,21,Metro
12:15:00,Thursday,GREATER GEELONG,12,Country
19:10:00,Wednesday,TOWONG,19,Country
12:40:00,Thursday,LATROBE,12,Country
10:23:00,Thursday,MELBOURNE,10,Metro
13:00:00,Thursday,MITCHELL,13,Country
6:30:00,Wednesday,WHITTLESEA,6,Metro
14:25:00,Thursday,WHITEHORSE,14,Metro
11:14:00,Thursday,MELTON,11,Metro
12:30:00,Tuesday,YARRA,12,Metro
16:10:00,Thursday,GREATER DANDENONG,16,Metro
16:45:00,Thursday,GREATER GEELONG,16,Country
15:13:00,Thursday,WHITEHORSE,15,Metro
18:20:00,Thursday,MILDURA,18,Country
18:30:00,Thursday,GLEN EIRA,18,Metro
16:45:00,Thursday,YARRA,16,Metro
18:00:00,Thursday,STRATHBOGIE,18,Country
19:00:00,Thursday,KINGSTON,19,Metro
21:55:00,Thursday,MOYNE,21,Country
21:30:00,Thursday,MITCHELL,21,Country
5:40:00,Thursday,MELBOURNE,5,Metro
12:05:00,Thursday,GREATER GEELONG,12,Country
15:45:00,Thursday,BAYSIDE,15,Metro
5:45:00,Wednesday,EAST GIPPSLAND,5,Country
7:10:00,Friday,YARRA,7,Metro
8:19:00,Friday,MANNINGHAM,8,Metro
22:30:00,Monday,MAROONDAH,22,Metro
10:45:00,Tuesday,MURRINDINDI,10,Country
7:20:00,Tuesday,GREATER DANDENONG,7,Metro
8:25:00,Tuesday,STONNINGTON,8,Metro
10:25:00,Tuesday,CORANGAMITE,10,Country
13:05:00,Wednesday,HEPBURN,13,Country
15:45:00,Tuesday,WHITEHORSE,15,Metro
14:30:00,Monday,STONNINGTON,14,Metro
6:50:00,Tuesday,YARRA,6,Metro
15:08:00,Tuesday,MOIRA,15,Country
17:26:00,Tuesday,BOROONDARA,17,Metro
17:30:00,Tuesday,GREATER SHEPPARTON,17,Country
16:40:00,Tuesday,YARRA,16,Metro
17:20:00,Tuesday,BRIMBANK,17,Metro
19:25:00,Tuesday,MOORABOOL,19,Country
18:05:00,Tuesday,MORELAND,18,Metro
19:10:00,Monday,BRIMBANK,19,Metro
19:00:00,Monday,KINGSTON,19,Metro
23:55:00,Monday,PORT PHILLIP,23,Metro
5:10:00,Tuesday,MANNINGHAM,5,Metro
3:30:00,Wednesday,HUME,3,Metro
16:15:00,Monday,GOLDEN PLAINS,16,Country
15:45:00,Tuesday,STRATHBOGIE,15,Country
8:45:00,Wednesday,KINGSTON,8,Metro
9:50:00,Wednesday,KNOX,9,Metro
0:30:00,Saturday,NILLUMBIK,0,Metro
10:45:00,Sunday,WHITEHORSE,10,Metro
16:40:00,Sunday,MONASH,16,Metro
